opp_id,state,bill_identifiers,record_year,recorded_status,recorded_outcome,lookup_status,incident,date
opp_9becabf127e0,AL,,2025,active,pending,no_bill_id,Baldwin County (Stockton),2025-12-02
opp_dd995a8dc0e3,MD,,2025,passed,win,no_bill_id,Maryland (Veto Override - Impact Study),2025-12-16
opp_263f6b6d9445,LA,,2025,passed,loss,no_bill_id,Louisiana (LPSC Lightning Amendment),2025-12-17
opp_b670d873b817,AK,HB 259; SB 250,2026,dead,loss,ready,Alaska (statewide),2026-01-01
opp_90985ff201d3,RI,,2026,defeated,mixed,no_bill_id,Rhode Island (statewide),2026-07-15
opp_42b15cf3e0c3,KS,SB 526; SB 98,2026,dead,loss,ready,Kansas (statewide),2026-03-04
opp_65677bb0b311,GA,SB 436; SB 410; HB 1063,2026,died-in-committee,loss,ready,Georgia (statewide),2026-02-09
opp_e132fa0f497a,MD,HB 1532; SB 596,2026,passed,mixed,ready,Maryland (statewide),2026-04-15
opp_a22d34ea887a,VA,SB 253; HB 1393,2026,passed,mixed,ready,Virginia (statewide),2026-04-16
opp_4954abc08ca0,OK,HB 299,2026,pending,pending,ready,Oklahoma (statewide),2026-03-01
opp_f885917b8d19,WA,SB 6231,2026,passed,win,ready,Washington (SB 6231),2026-01-01
opp_8ac39cf790db,MD,HB 560,2026,died,loss,ready,Maryland (HB 560),2026-01-01
opp_548024876132,VA,SB 619; HB 155,2026,defeated,loss,ready,Virginia (SB 619 / HB 155),2026-01-01
opp_87122f792415,SD,,2026,cancelled,win,no_bill_id,Toronto,2026-01-06
opp_e504f7dc0dc2,VT,,2026,pending,pending,no_bill_id,Vermont (statewide),2026-01-06
opp_39aa4dd0a9ff,DC,,2026,pending,pending,no_bill_id,Federal (Cotton DATA Act),2026-01-08
opp_968f4eba3c4e,CA,AB 1577,2026,pending,pending,ready,California (AB 1577),2026-01-12
opp_3a101d4c333b,CA,AB 222,2025,pending,pending,ready,California (statewide),2025-01-15
opp_3dc49c9a8133,SC,HB 4583,2026,pending,pending,ready,South Carolina (HB 4583),2026-01-13
opp_05dd8f8b80d3,MD,HB 120,2026,died,loss,ready,Maryland (statewide HB 120),2026-01-14
opp_72caa70f9964,NM,SB 235,2026,defeated,loss,ready,New Mexico (statewide),2026-01-14
opp_5f5df06bfaaf,UT,HB 76,2026,passed,win,ready,Utah (statewide),2026-01-15
opp_068678987d3f,NE,LB 1111,2026,pending,win,ready,Nebraska (statewide),2026-01-16
opp_2509e4a89095,GA,HB 1012; HB 1059,2026,defeated,loss,ready,Georgia (statewide HB 1012),2026-01-16
opp_6193a69e4e64,TX,,2026,defeated,mixed,no_bill_id,El Paso,2026-06-18
opp_a7892e08eaeb,SD,SB 135; HB 1038,2026,passed,win,ready,South Dakota (statewide),2026-03-24
opp_d6c554af93b0,IN,HB 1333,2026,dead,win,ready,Indiana (statewide),2026-01-27
opp_93ebd1c63e5f,TX,,2026,active,pending,no_bill_id,Pecos County,2026-02-01
opp_b0c2e1b40d11,VA,HB 1515,2026,defeated,loss,ready,Virginia (statewide HB 1515 moratorium),2026-02-01
opp_423d4766b0e9,TN,SB 2128; SB 2653; SB 1999; SB 2584; HB 2047,2026,pending,mixed,ready,Tennessee (statewide),2026-02-01
opp_32a96eb7865e,AZ,HB 2756; HB 2795; HB 2452; HB 4009; HB 2457,2026,active,mixed,ready,Arizona (statewide HB 2756),2026-02-01
opp_6244df945467,KY,HB 544; SB 197,2026,died-sine-die,loss,ready,Kentucky (statewide),2026-02-01
opp_bfd506616d8c,IL,SB 4004,2026,dead,loss,ready,Illinois (SB 4004),2026-02-01
opp_1763a86c026b,SD,SB 232; SB 135,2026,defeated,loss,ready,South Dakota (SB 232),2026-02-18
opp_d1cbdbde4198,SC,,2026,pending,pending,no_bill_id,South Carolina (Data Center Development Act),2026-02-05
opp_f5dab8062f21,AL,SB 270,2026,passed,win,ready,Alabama (statewide SB 270),2026-02-05
opp_0e3b862642cd,NY,S 9144; A 10141,2026,"passed legislature, awaiting governor signature",pending,ready,New York State,2026-02-06
opp_27f4b878fff7,IL,,2026,active,win,no_bill_id,Illinois (statewide),2026-06-05
opp_c05cca779e9b,WV,,2026,active,pending,no_bill_id,Tucker County,2026-02-07
opp_4cf11bae103b,ID,HB 609; HB 756,2026,dead,loss,ready,Idaho (statewide),2026-02-09
opp_585738332a95,VA,SB 253,2026,signed,win,ready,Virginia (statewide SB 253 rate shift),2026-02-10
opp_1ea05e5b34c9,WA,HB 2515; SB 5982,2026,mixed,mixed,ready,Washington (statewide),2026-02-11
opp_af594b40ea68,NH,HB 1265,2026,defeated,mixed,ready,New Hampshire (statewide),2026-02-11
opp_92c8b9045e68,WI,,2026,decided,win,no_bill_id,Wisconsin (statewide PSC rate hearing),2026-02-11
opp_2e0c8b1e00f8,DC,,2026,pending,pending,no_bill_id,Blumenthal-Hawley GRID Act (federal),2026-02-11
opp_f8021bc23d73,ME,LD 307,2026,defeated,loss,ready,Maine (statewide),2026-04-24
opp_39e08a527448,CO,SB 26; HB 26,2026,pending,mixed,ready,Colorado (statewide),2026-02-12
opp_71bcf73ea023,WI,SB 1061; AB 1099,2026,dead,loss,ready,Wisconsin (statewide moratorium bill),2026-02-12
opp_4f824b8f6f0f,KY,HB 593; HB 544,2026,defeated,win,ready,Kentucky (statewide HB 593),2026-02-12
opp_23023943734f,OH,HB 706,2026,pending,pending,ready,Ohio (statewide),2026-02-17
opp_b844c002abf1,PA,,2026,pending,pending,no_bill_id,Pennsylvania (statewide moratorium proposal),2026-02-17
opp_81019607ff66,OR,SB 1586,2026,cancelled,win,ready,Hillsboro (SB 1586),2026-02-17
opp_54bdef453894,IL,,2026,active,pending,no_bill_id,Illinois (Tax Incentive Suspension),2026-02-19
opp_cc77c8b45ade,IA,HF 2447,2026,dead,loss,ready,Iowa (statewide),2026-02-19
opp_c3f06b8218f9,DC,,2026,pending,pending,no_bill_id,Sanders National Moratorium (federal),2026-03-25
opp_f870292c731e,FL,,2026,cancelled,win,no_bill_id,St. Lucie County,2026-02-23
opp_7146943d67ee,OH,SR 37; HB 646,2026,passed,win,ready,Sunbury,2026-04-15
opp_2b5062d71994,SD,SB 232; HB 1005; SB 135,2026,passed,mixed,ready,South Dakota (moratorium/incentive defeat),2026-02-24
opp_c4d2b92dc5bc,IN,HB 1245,2026,active,pending,ready,Indiana (statewide rally/moratorium push),2026-02-24
opp_35fc8ebfe1ac,MI,,2026,active,mixed,no_bill_id,Michigan (statewide),2026-07-15
opp_021c2c472697,WV,HB 2014,2026,active,pending,ready,Berkeley County,2026-02-26
opp_f92916918afc,MO,HB 3362; HB 3364,2026,dead,loss,ready,Missouri (statewide legislation),2026-02-26
opp_760001b8a3c1,MO,HB 3362; HB 3364,2026,dead,loss,ready,Missouri (AI Infrastructure Act),2026-02-26
opp_e5c0089dd683,SC,,2026,pending,pending,no_bill_id,South Carolina (statewide moratorium H 5286),2026-02-26
opp_38dcac0918c6,MA,,2026,active,pending,no_bill_id,Massachusetts (statewide),2026-02-26
opp_18e2c9d1787f,NY,S 9144; A 10141,2026,passed legislature,pending,ready,New York (100+ groups coalition),2026-03-02
opp_349ffc8c5004,MD,,2026,approved,pending,no_bill_id,Charles County,2026-03-02
opp_1339e55a8716,OR,HB 4084,2026,passed,win,ready,Oregon (HB 4084 tax break moratorium),2026-06-06
opp_84df29c95d0a,PA,HB 2151; HB 2150,2026,active,pending,ready,Pennsylvania (HB 2151),2026-03-02
opp_27a9926da3d0,ND,,2026,passed,mixed,no_bill_id,Mercer County,2026-03-03
opp_2c695ae87ee6,GA,SB 410; SB 34,2026,dead,loss,ready,Georgia (SB 410),2026-03-06
opp_8a016c3cad14,PA,HB 2150; HB 2151,2026,active,pending,ready,Pennsylvania (HB 2150),2026-03-09
opp_11aa7ff7a27e,NJ,S 3379,2026,pending,pending,ready,New Jersey (S3379),2026-02-12
opp_bb8e6cc1bbcc,MD,,2026,defeated,loss,no_bill_id,Frederick County (Referendum Effort),2026-01-26
opp_46fdb3396312,MD,HB 1532,2026,died,mixed,ready,Baltimore City (Baltimore Peninsula TIF ban),2026-03-01
opp_89cbc3a4a3cd,FL,HB 1007,2026,defeated,win,ready,Florida (HB 1007),2026-02-25
opp_706b1cd73daf,AZ,SB 1463,2026,dead,loss,ready,Arizona (SB 1463 tax repeal),2026-01-01
opp_d56f07501657,TN,SB 2653; HB 2392,2026,died-sine-die,loss,ready,Tennessee (SB 2653 impact review act),2026-02-02
opp_db6ed2ba989e,WI,AB 840; SB 843,2026,defeated,loss,ready,Wisconsin (AB 840 / SB 843 GOP regulation),2026-01-09
opp_d52b7e08f590,WI,SB 729; AB 722,2026,dead,loss,ready,Wisconsin (SB 729 / AB 722 Dem regulation),2026-01-01
opp_057d2921cf52,IN,HB 1210,2026,passed,loss,ready,Indiana (HB 1210 community payments),2026-01-27
opp_4f7ecaba5fff,OH,HB 646,2026,delayed,pending,ready,Ohio (HB 646 study commission),2026-06-11
opp_cd8aa1ff3a14,FL,SB 484,2026,passed,win,ready,Florida (SB 484 data center regulation),2026-02-26
opp_3f0af36b5412,LA,,2026,approved,loss,no_bill_id,Louisiana (PSC Meta financing investigation),2026-02-25
opp_f6da4fb2ee55,DC,HR 6984,2026,pending,pending,ready,Federal (HR 6984 Data Center Transparency Act),2026-01-08
opp_f1351012a32a,GA,HB 559; SB 410; HB 1063,2026,dead,loss,ready,Georgia (HB 559 tax exemption sunset),2026-02-01
opp_1e09ccd54e1f,GA,SB 408; SB 410; HB 559,2026,dead,loss,ready,Georgia (SB 408 tax exemption sunset),2026-02-01
opp_522a2f12c546,ID,,2026,passed,mixed,no_bill_id,Idaho (H 820 tax exemption reform),2026-02-01
opp_bae92ddde8eb,ID,HB 756,2026,superseded,win,ready,Idaho (HB 756 no-harm test),2026-01-01
opp_9de9ae844e1d,FL,HB 1517; SB 1517,2026,defeated,loss,ready,Florida (HB 1517 transparency act),2026-02-01
opp_3d6145630316,OH,HB 96,2026,active,loss,ready,Ohio (tax exemption veto override effort),2026-03-01
opp_f95e5a35d5bb,NJ,S 731; A 796,2026,pending,pending,ready,New Jersey (S731/A796 Large Load Tariff),2026-02-12
opp_0453f3eb092f,NJ,,2025,approved,loss,no_bill_id,Kenilworth (CoreWeave $250M tax break),2025-11-01
opp_041be502637a,MD,HB 1411,2026,dead,loss,ready,Maryland (HB 1411 transparency act),2026-03-10
opp_7d9d828e738d,MD,HB 1595; SB 427,2026,died,loss,ready,Maryland (HB 1595/SB 427 property tax authority),2026-02-15
opp_c048713852f1,MD,,2026,pending,mixed,no_bill_id,Frederick County (Pippy state moratorium bill),2026-03-06
opp_a233c4b83a66,PA,,2026,active,pending,no_bill_id,Pennsylvania (Gov. Shapiro GRID standards),2026-02-04
opp_07116373e586,CA,SB 978,2026,held,loss,ready,California,2026-02-04
opp_a754e7131a76,OR,,2025,active,pending,no_bill_id,Oregon,2025-03-01
opp_30d2c4c048d9,US,,2025,pending,pending,federal_skip,United States,2025-12-18
opp_79720ff42c74,NJ,,2026,active,pending,no_bill_id,New Jersey,2026-01-20
opp_dd9e6b52d0fc,TX,,2026,active,pending,no_bill_id,Texas,2026-02-09
opp_9fcbc6cf075d,MT,,2026,active,pending,no_bill_id,Montana,2026-03-11
opp_722f42b528f6,DE,SB 205,2025,pending,pending,ready,Delaware,2025-09-29
opp_adf225c8bace,VT,,2026,defeated,loss,no_bill_id,Vermont,2026-05-29
opp_8b5881a12af1,RI,,2026,pending,pending,no_bill_id,Rhode Island,2026-03-04
opp_7ca5891e8026,ME,LD 713; LD 307,2026,passed,win,ready,Maine,2026-04-24
opp_3b5566fafd13,ME,LD 307,2026,pending,pending,ready,Jay,2026-03-13
opp_6f976138d90c,CT,HB 5469,2026,pending,mixed,ready,Connecticut,2026-03-06
opp_77773af2c60a,AL,HB 399; SB 265,2026,passed,win,ready,Alabama,2026-02-12
opp_946200962f07,AL,SB 354,2026,died,pending,ready,Alabama,2026-03-11
opp_51503be68e34,FL,SB 1118; SB 484,2026,defeated,win,ready,Florida,2026-03-13
opp_f2b1cca7ddff,NE,LB 1261,2026,passed,loss,ready,Nebraska,2026-03-13
opp_826ee04a3d40,OH,,2026,active,pending,no_bill_id,Columbus,2026-03-12
opp_1ef68f840752,WI,,2026,defeated,loss,no_bill_id,Wisconsin,2026-02-18
opp_d29afd2095e0,OK,SB 1488,2026,defeated,loss,ready,Oklahoma (SB 1488),2026-01-01
opp_279e05762166,OK,HB 2992,2026,active,pending,ready,Oklahoma (HB 2992),2026-01-08
opp_28b2b06bc795,MI,SB 761; SB 762; SB 763,2025,pending,pending,ready,Michigan (SB 761-763),2025-12-18
opp_9bb28c8f4524,MT,SB 212,2025,passed,loss,ready,Montana (SB 212),2025-04-17
opp_85bcdbf0f2b5,MS,SB 3168,2025,passed,loss,ready,Mississippi (SB 3168),2025-07-01
opp_94d922fdd214,US,,2025,passed,loss,federal_skip,United States (federal),2025-07-23
opp_f784aebfe0c4,VA,HB 784,2026,incorporated,pending,ready,Virginia (HB 784),2026-01-08
opp_0ac8601ee64c,VA,SB 393; HB 641,2026,defeated,loss,ready,Virginia (SB 393),2026-01-08
opp_857f695cf9c2,VA,HB 503,2026,defeated,loss,ready,Virginia (HB 503),2026-01-08
opp_610fc4eb4b60,IL,SB 2182,2026,pending,pending,ready,Illinois (SB 2182),2026-02-11
opp_3cabf3860557,WV,SB 658; HB 2014,2026,defeated,loss,ready,West Virginia (SB 658 local control),2026-02-25
opp_212a5ac321d1,VA,,2026,active,pending,no_bill_id,Virginia (budget tax exemption fight),2026-02-24
opp_3186f5f7b7d3,AZ,HB 2795,2026,failed,win,ready,Arizona,2026-02-03
opp_490b8af9e43c,OH,,2026,pending,pending,no_bill_id,Ohio,2026-02-05
opp_4ba403e2b469,IA,HF 2447; HF 2690; HF 2261,2026,dead,loss,ready,Iowa,2026-02-01
opp_1f51183f1ba8,NY,S 8540,2025,pending,pending,ready,New York,2025-10-22
opp_16d6ccfd7fd2,NH,HB 1724,2026,died,loss,ready,New Hampshire,2026-01-01
opp_ff16db4797f0,WY,HB 90,2026,defeated,loss,ready,Wyoming,2026-02-12
opp_9318a1f3b921,MS,HB 1635,2026,defeated,loss,ready,Mississippi,2026-02-01
opp_b1ca234aa006,WI,,2026,active,pending,no_bill_id,Janesville (Referendum),2026-02-09
opp_4cf7f9ba6e2b,WA,,2025,active,pending,no_bill_id,Washington (Governor's Data Center Workgroup),2025-02-05
opp_98d9e77a4df2,OR,,2025,active,win,no_bill_id,Oregon (PGE POWER Act Dispute),2025-12-15
opp_07c24ce7ea28,OR,HR 655,2025,pending,pending,ready,The Dalles (HR 655 Federal Land Transfer),2025-12-09
opp_2b075f6cdc12,TX,SB 6,2026,active,pending,ready,Texas (PUCT rulemaking),2026-03-06
opp_f106f7a26e2b,VA,,2026,passed,mixed,no_bill_id,Virginia (budget/tax exemption stalemate),2026-06-22
opp_c5c4fe0e2dde,VA,,2026,active,pending,no_bill_id,Central Virginia (Valley Link 765kV line),2026-02-19
opp_ddebecf4efe7,VA,,2025,passed,loss,no_bill_id,Virginia (DEQ diesel generator guidance),2025-12-17
opp_d0cbe42e9ced,CA,SB 887,2026,pending,pending,ready,California (SB 887),2026-01-13
opp_4b66e43a0859,CA,SB 1168,2026,pending,pending,ready,California (SB 1168),2026-02-18
opp_d574c87d8160,CA,AB 2619,2026,pending,pending,ready,California (AB 2619),2026-02-20
opp_e5eca26666f6,MN,HF 4077; SF 4379,2026,dead,loss,ready,Minnesota (Statewide),2026-03-12
opp_66ab49712a63,AL,SB 270,2026,passed,win,ready,Alabama (Statewide),2026-03-13
opp_16e1c6631521,PA,,2026,active,pending,no_bill_id,Pennsylvania (Statewide),2026-03-10
opp_c02b7e51af21,WY,,2026,pending,pending,no_bill_id,Wyoming (statewide),2026-01-16
opp_648efe1bdfff,NE,LB 209,2026,active,pending,ready,Sarpy County,2026-02-01
opp_dec1643364eb,OH,,2026,active,pending,no_bill_id,Brown County (statewide constitutional petition),2026-03-01
opp_e87e93c6016a,DC,,2025,active,pending,no_bill_id,U.S. Senate (Federal Investigation),2025-12-15
opp_4e7f4e62a8a7,DC,,2026,passed,loss,no_bill_id,Army Corps of Engineers (Federal Agency),2026-03-15
opp_303ca7d0d7ba,US,,2026,active,pending,federal_skip,National (Food & Water Watch),2026-03-04
opp_9c24100c99c8,US,,2026,active,pending,federal_skip,National (Sierra Club),2026-01-01
opp_d7c2d2621b7c,US,,2026,active,pending,federal_skip,National (Data Center Watch Report),2026-03-01
opp_124468287d82,US,,2026,active,pending,federal_skip,National (Industry Response),2026-02-01
opp_98f9738e0051,TX,,2026,active,pending,no_bill_id,Permian Basin / Hill Country (765kV transmission),2026-01-01
opp_c44c53258532,TX,,2026,active,pending,no_bill_id,Texas (State Republican Executive Committee),2026-02-01
opp_c41d44c6f865,VA,HB 507,2026,passed,win,ready,Virginia (HB 507),2026-03-01
opp_31991b12e824,VA,SB 94; HB 153,2026,passed,win,ready,Virginia (SB 94 / HB 153 siting),2026-02-01
opp_02a7428f39a3,VA,SB 553; HB 496,2026,pending,pending,ready,Virginia (SB 553 water disclosure),2026-02-01
opp_79562b44a1f8,TN,,2026,active,pending,no_bill_id,Tennessee Valley Authority (affordability concerns),2026-01-01
opp_19a4b2d5163e,AZ,HB 2631,2026,dead,mixed,ready,Arizona (HB 2631 tax repeal),2026-02-01
opp_836956ddb280,NJ,A 6181; S 680; S 3379,2026,pending,pending,ready,New Jersey (A6181 NDA ban),2026-02-01
opp_a281e96ef800,CO,HB 1030; SB 24; HB 26,2026,dead,win,ready,Colorado (HB 1030),2026-02-01
opp_d35c8323d34a,ID,HB 874,2026,superseded,win,ready,Idaho (HB 874),2026-02-01
opp_3fd506eb04c4,MT,,2026,active,pending,no_bill_id,Montana (statewide demand),2026-01-01
opp_516478f5f350,UT,HB 76,2026,passed,win,ready,Utah (HB 76),2026-02-01
opp_97c473fa11a2,NY,S 9144; A 10141,2026,"passed legislature, awaiting governor signature",pending,ready,New York (statewide moratorium bill),2026-02-06
opp_375dfa09ce11,PA,HB 1834,2026,pending,pending,ready,Pennsylvania (statewide HB 1834),2026-03-24
opp_64cdce00af65,NV,,2026,pending,pending,no_bill_id,Boulder City,2026-02-24
opp_0f8e393b3fb3,WI,,2026,passed,win,no_bill_id,City of Port Washington,2026-04-07
opp_b9c52a23e8ca,DC,,2026,passed,win,no_bill_id,Federal (Warren-Hawley EIA Letter),2026-03-26
opp_bae9d40b1c4c,SC,,2026,pending,pending,no_bill_id,South Carolina (S 902 Data Center Siting Act),2026-02-10
opp_86d1daea9ead,GA,HB 1012; SB 408; SB 410,2026,defeated,loss,ready,Georgia (2026 Legislative Session Failure),2026-04-03
opp_5de4e0fd0554,TX,,2026,delayed,win,no_bill_id,Fort Worth (Veale Ranch),2026-03-31
opp_92ca1a80ec25,WV,HB 4983,2026,passed,loss,ready,West Virginia (HB 4983 secrecy rulemaking),2026-03-27
opp_8471bf2ceed9,WV,,2026,active,pending,no_bill_id,West Virginia (MARL 500kV transmission line),2026-02-01
opp_e6caa9f3c04e,ID,HB 895,2026,signed,win,ready,Idaho (statewide),2026-03-20
opp_9e933812c891,NV,,2026,active,pending,no_bill_id,Nevada (statewide interim study),2026-03-25
opp_20c9157e806f,NE,,2026,passed,win,no_bill_id,Gage County,2026-06-16
opp_2fea79eee9b7,MN,SF 4298,2026,dead,loss,ready,Minnesota (statewide),2026-03-04
opp_a9b2b4a64e25,OH,,2026,active,pending,no_bill_id,Ohio (statewide ballot initiative),2026-04-03
opp_73872436669d,US,,2024,active,pending,federal_skip,United States (DOE/LBNL Report),2024-12-20
opp_deab3aadec48,US,,2026,passed,loss,federal_skip,United States (CEQ NEPA Repeal),2026-01-08
opp_0ec3bc135a5d,US,,2026,defeated,win,federal_skip,United States (H.R. 8037),2026-03-24
opp_7b7aabf01f60,DC,,2025,active,pending,no_bill_id,National (NRDC PJM Report),2025-10-01
opp_af4533548d57,US,,2025,resolved,pending,federal_skip,United States (DOE Section 403 Directive),2025-10-23
opp_1ee0d8ed44db,NJ,S 680,2026,pending,pending,ready,New Jersey (S680 clean energy requirement),2026-01-13
opp_f7a3f9dd872e,NH,SB 439,2026,tabled,mixed,ready,New Hampshire (SB 439 municipal zoning),2026-01-29
opp_793fdf3b9fc6,ME,LD 307,2026,defeated,loss,ready,Maine (LD 307 statewide moratorium),2026-03-20
opp_ed02cb0aded6,DE,,2026,defeated,win,no_bill_id,Delaware (Coastal Zone Appeal),2026-03-26
opp_c3f8ec3f6a51,NJ,A 796,2026,passed,pending,ready,New Jersey (A796 Assembly passage),2026-03-23
opp_1ce5c397c32b,IN,,2026,active,pending,no_bill_id,Hancock County,2026-03-29
opp_50cb58ded900,US,,2026,pending,pending,federal_skip,United States (S.4213),2026-03-26
opp_99e8bfeb61d7,US,,2026,active,pending,federal_skip,United States (Army Military Base Leasing),2026-03-26
opp_01b83a35d0bb,US,,2026,pending,pending,federal_skip,United States (H.R. 7977),2026-03-18
opp_79ad333dea37,MI,,2026,active,pending,no_bill_id,Michigan (statewide rallies),2026-04-11
opp_0c5b2b003fae,OH,,2026,pending,pending,no_bill_id,Pike County,2026-04-21
opp_e23b17b6c6f0,TX,,2026,active,mixed,no_bill_id,Texas (statewide),2026-06-10
opp_5bd38f1e1fa9,NV,,2026,active,pending,no_bill_id,Nevada (statewide),2026-04-09
opp_579c6221cd23,NC,,2026,active,pending,no_bill_id,North Carolina (statewide convening),2026-03-25
opp_8d21af184d54,MS,,2026,active,pending,no_bill_id,Mississippi (statewide Amazon expansion),2026-04-09
opp_149428e46bb4,AR,,2026,defeated,loss,no_bill_id,Arkansas (statewide),2026-04-08
opp_1452f83e8ca5,PA,HB 2496,2026,pending,pending,ready,Pennsylvania (statewide),2026-06-18
opp_12a161d11c62,US,,2026,active,pending,federal_skip,Federal (H.R. 8033 No Harm in Data Centers Act),2026-03-20
opp_4027604f7929,US,,2026,pending,win,federal_skip,Federal (EIA mandatory data center reporting),2026-04-09
opp_2ca9aba02e7f,OH,,2026,pending,pending,no_bill_id,Botkins,2026-04-14
opp_5bb8d8da1bc0,TX,,2026,passed,win,no_bill_id,Cameron County (resolution on unregulated data centers),2026-04-07
opp_1cfd6ccaa9ba,CO,,2026,approved,loss,no_bill_id,Elbert County (Xcel Power Pathway),2026-04-10
opp_6dc00f1e8a81,WA,,2026,active,pending,no_bill_id,Washington State (UTC data center review),2026-04-01
opp_03549ed74600,SC,,2026,pending,pending,no_bill_id,South Carolina (statewide moratorium H 5526),2026-04-14
opp_a3e9f4ce0103,US,,2026,defeated,win,federal_skip,United States (FERC),2026-04-16
opp_2d8abb7b1381,US,,2026,passed,loss,federal_skip,United States (EPA),2026-04-16
opp_5ca926b64e95,PA,,2026,active,pending,no_bill_id,Pennsylvania (Wellsboro hearing),2026-04-17
opp_15c50e2a166c,VA,,2026,active,pending,no_bill_id,Multistate (PJM coalition),2026-04-13
opp_1fe5b42c3c0a,MI,,2026,passed,win,no_bill_id,Ypsilanti Community Utilities Authority (YCUA),2026-04-22
opp_527d7f92969e,US,,2026,active,mixed,federal_skip,EPA,2026-04-16
opp_c8bde6255d66,US,,2026,pending,pending,federal_skip,FERC (Transwestern Green Chile Pipeline),2026-04-13
opp_c32f0e04a6f8,US,,2026,active,pending,federal_skip,US House (DATA Act of 2026 — House companion),2026-04-21
opp_8cc15277d2f9,US,,2026,active,pending,federal_skip,US Senate (Sen. Ossoff FERC inquiry),2026-04-24
opp_d489207862b6,WI,,2026,passed,win,no_bill_id,"Wisconsin Public Service Commission (We Energies VLC + Bespoke Resources Tariff, Docket 6630-TE-113)",2026-04-24
opp_b2b918d7e618,WI,,2026,approved,loss,no_bill_id,Wisconsin DNR (Port Washington Vantage/Stargate),2026-06-12
opp_328e8996be05,TX,,2026,active,pending,no_bill_id,Texas (Farmers Union / Tucker),2026-04-15
opp_0bdb4c2fd25e,AZ,,2026,pending,pending,no_bill_id,Arizona (Senate disclosure bill),2026-04-17
opp_4a32aa1799f0,LA,,2025,passed,loss,no_bill_id,Louisiana Public Service Commission,2025-12-17
opp_51c3c4bc20f6,MD,,2026,pending,pending,no_bill_id,Harford County Council,2026-04-21
opp_c69145c706d9,DE,,2026,active,pending,no_bill_id,State of Delaware,2026-04-24
opp_149c49f94b44,LA,HB 827,2024,passed,loss,ready,Louisiana Legislature,2024-06-01
opp_2446724c6c23,LA,,2025,defeated,loss,no_bill_id,Louisiana Administrative Law Judge (LPSC Docket U-37425),2025-04-04
opp_3c2069dc2adf,LA,,2025,active,pending,no_bill_id,Louisiana Department of Environmental Quality (LDEQ),2025-11-19
opp_502722eed9cd,LA,,2026,active,loss,no_bill_id,Louisiana Public Service Commission (Docket U-37425),2026-01-14
opp_ea7d8304fed3,LA,,2026,pending,pending,no_bill_id,Louisiana Public Service Commission (Project Everest application),2026-03-25
opp_97c6b1c4ce0e,US,,2025,active,pending,federal_skip,U.S. Senate Environment and Public Works Committee,2025-05-01
opp_8be8b626b0e2,LA,,2025,approved,loss,no_bill_id,Richland Parish (Mississippi River Alluvial Aquifer water withdrawal),2025-12-01
opp_64bdcdf8bd65,TN,,2024,active,loss,no_bill_id,Shelby County Health Department (xAI enforcement letter),2024-08-26
opp_ff2f842fb285,TN,,2024,resolved,pending,no_bill_id,EPA Region 4 (xAI Memphis inquiry),2024-11-01
opp_7989cc6d9520,TN,,2024,approved,loss,no_bill_id,Tennessee Valley Authority (xAI 150 MW supply),2024-11-07
opp_d8acbb28f73c,TN,,2025,pending,loss,no_bill_id,Shelby County Health Department (xAI 15-turbine air permit application),2025-01-15
opp_e049359a3277,TN,,2025,passed,win,no_bill_id,Shelby County Commission (xAI public hearing resolution),2025-04-01
