project_id,project_name,state,county,phase,lifecycle_outcome,decided,announced_date,announced_precision,decision_date,decision_date_source,source_url,days_announced_to_decision,last_status_update,capacity_mw,capacity_source,size_acres,n_opposition_events,first_opposition_date,last_opposition_date,opposition_span_days,days_announced_to_first_opposition,opposition_types,n_opposition_groups,has_lawsuit
prj_55,Project Ruthenium,IA,madison,proposed,pending,no,2023-11-01,month,,,,,2026-09-21,100,proposals,103,0,,,,,,0,no
prj_56,Edged Des Moines,IA,polk,construction,advanced_confirmed,yes,2025-03-01,month,,,,,2026-09-21,13,proposals,17.5,2,2026-05-11,2026-06-15,35,,moratorium,0,no
prj_57,Project Morgan,IA,dallas,expansion,advanced_confirmed,yes,2017-08-01,month,,,,,2026-04-15,,,2000,0,,,,,,0,no
prj_58,Google Council Bluffs,IA,pottawattamie,expansion,advanced_confirmed,yes,2024-01-01,year,,,,,2026-09-21,,,,2,2026-06-15,2026-06-15,0,,moratorium; zoning_restriction,0,no
prj_59,Tract Altoona,IA,polk,proposed,pending,no,2025-04-01,month,,,,,2026-06-01,,,453,0,,,,,,0,no
prj_60,Project Alluvion,IA,polk,operational,advanced_confirmed,yes,2014-01-01,year,,,,,2026-09-21,,,127,0,,,,,,0,no
prj_61,Project Ginger West,IA,dallas,construction,advanced_confirmed,yes,2021-01-01,year,,,,,2026-09-21,200,proposals,180,0,,,,,,0,no
prj_62,Project Ginger East,IA,polk,construction,advanced_confirmed,yes,2022-01-01,year,2025-12-16,Lewiston City Council voted 7-0 Tuesday 2025-12-16 to deny the joint development agreement for the Bates Mill No. 3 data center; web-verified (Maine Public 2025-12-17; News Center Maine 2025-12-16; Mainebiz 2025-12-17),https://www.mainepublic.org/business-and-economy/2025-12-17/lewiston-city-council-shoots-down-data-center-proposal,,2026-09-21,200,proposals,130,0,,,,,,0,no
prj_63,Project Osmium,IA,warren county; madison,operational,advanced_confirmed,yes,2016-01-01,year,,,,,2026-09-21,,,200,0,,,,,,0,no
prj_64,Tract Project West,IA,warren,proposed,pending,no,2025-02-01,month,,,,,2026-09-21,200,opposition_events,282,1,2025-06-23,2025-06-23,0,,moratorium,0,no
prj_65,COPT Defense Properties Data Center,IA,dallas,proposed,pending,no,2024-10-01,month,,,,,2026-04-15,1000,proposals,365,1,2026-02-13,2026-02-13,0,,public_comment,1,no
prj_66,Simple Mining Cascade,IA,dubuque,proposed,pending,no,,,,,,,,,,,0,,,,,,0,no
prj_67,Simple Mining Cedar Falls,IA,black hawk,proposed,pending,no,,,,,,,,,,38,0,,,,,,0,no
prj_68,Edged Data Center,IA,pottawattamie,proposed,pending,no,,,,,,,,200,proposals,,0,,,,,,0,no
prj_69,Jackson County Data Center,IA,jackson,proposed,pending,no,,,,,,,,,,46,1,2024-09-17,2024-09-17,0,,moratorium,0,no
prj_71,Karis Dubuque,IA,dubuque,proposed,pending,no,,,,,,,,,,,1,2026-05-26,2026-05-26,0,,moratorium; public_comment,0,no
prj_72,MidAmerican Data Center,IA,woodbury,proposed,pending,no,,,,,,,,,,900,1,2026-06-13,2026-06-13,0,,executive_action; moratorium,0,no
prj_74,Applied Digital Adair,IA,adair,proposed,pending,no,2024-04-01,month,2025-10-15,Saline Township Board approved consent-judgment settlement permitting the campus (terminal local land-use disposition after 4-1 rezoning denial and developer exclusionary-zoning suit); web-verified (Planet Detroit 2025-11: settlement Oct 15; Saline Summit 2025-11-19; Fortune 2026-05-06),https://planetdetroit.org/2025/11/dte-openai-saline-township/,562,2026-09-21,200,proposals,,3,2024-04-24,2025-10-01,525,,lawsuit; moratorium; regulatory_action; zoning_restriction,2,yes
prj_75,Project Lincoln,KY,oldham,proposed,pending,no,2025-03-01,month,,,,,2026-03-01,600,opposition_events,267,3,2025-06-02,2026-07-01,394,,moratorium,1,no
prj_77,TeraWulf Hawesville Data Center,KY,hancock,proposed,pending,no,2026-01-01,year,,,,,2026-05-05,480,opposition_events,750,1,2026-02-02,2026-02-02,0,,zoning_restriction,1,no
prj_78,Project Pulse,KY,clark,rejected,blocked_confirmed,yes,2026-01-01,year,,,,,2026-05-05,,,991,0,,,,,,0,no
prj_79,DartPoints Former Lexmark Data Center Redevelopment,KY,fayette,preliminary,pending,no,2026-03-01,month,,,,,2026-06-04,,,,1,2026-06-08,2026-06-08,0,,moratorium; other_opposition,0,no
prj_80,Franklin–Simpson Data Storage and Service Center,KY,simpson,proposed,pending,no,2025-01-01,year,2025-11-20,Rocklocker LLC announced in a statement Thursday morning 2025-11-20 that it was ending pursuit of the Kalkaska data center on DNR land; web-verified (The Ticker 2025-11-20; 9and10news 2025-11-20 'updated news release Nov. 20'; Interlochen Public Radio 2025-11-20),https://www.traverseticker.com/news/developer-pulls-plug-on-kalkaska-data-center/,,2026-02-09,,,200,3,2026-01-28,2026-04-14,76,,lawsuit; zoning_restriction,6,yes
prj_81,Maysville Data Center,KY,mason,proposed,pending,no,2025-08-01,month,,,,,2026-05-23,2200,proposals,2080,2,2026-03-27,2026-04-22,26,,infrastructure_opposition; lawsuit; moratorium; public_comment; utility_regulation; zoning_restriction,4,yes
prj_82,Muskie Data Campus,KY,carter,proposed,pending,no,2026-05-01,month,,,,,2026-06-05,,,285,1,2026-06-02,2026-06-02,0,,moratorium; other_opposition; public_comment,0,no
prj_83,PowerHouse Louisville,KY,jefferson,construction,advanced_confirmed,yes,2025-01-01,year,,,,,2026-02-09,525,proposals,154,3,2025-09-11,2026-05-11,242,,moratorium; public_comment,4,no
prj_84,Loring Air Force Base Data Center,ME,aroostook,proposed,pending,no,2025-10-01,month,,,,,2026-09-21,2,proposals,,0,,,,,,0,no
prj_85,Bates Mill No. 3. Data Center,ME,androscoggin,withdrawn,blocked_confirmed,yes,2025-01-01,year,2026-04-06,"Developer withdrawal, date stated in sourced tracker record",https://www.fox47news.com/neighborhoods/downtown-old-town-reo-town,,2026-09-16,24,opposition_events,3.57,2,2025-12-16,2026-06-13,179,,executive_action; moratorium; zoning_restriction,3,no
prj_86,Sanford Woods Industrial and Technical Campus,ME,york,proposed,pending,no,2026-01-01,year,,,,,2026-03-08,300,opposition_events,1060,1,2026-02-13,2026-02-13,0,,public_comment,1,no
prj_87,Millinocket Data Center,ME,aroostook,withdrawn,blocked_confirmed,yes,2021-01-01,year,,,,,2026-02-08,60,proposals,,0,,,,,,0,no
prj_88,Yankee Nuclear Power Plant Data Center,ME,lincoln,preliminary,pending,no,2025-01-01,year,,,,,2026-09-16,,,300,0,,,,,,0,no
prj_89,DeepGreen Eastport Subsea Data Center,ME,washington,preliminary,pending,no,2025-01-01,year,,,,,2026-09-16,51,proposals,,0,,,,,,0,no
prj_90,Woodlawn Data Center,MD,baltimore,delayed,pending,no,2025-12-01,month,,,,,2026-02-06,150,proposals,42,3,2025-10-01,2026-04-09,190,,lawsuit; moratorium; public_comment; regulatory_action; study_or_report,2,yes
prj_91,TeraWulf Newburg,MD,charles,proposed,pending,no,,,,,,,2026-09-16,500,proposals,250,1,2026-03-02,2026-03-02,0,,regulatory_action; zoning_restriction,2,no
prj_92,Sandy Farms Data Center,MD,anne arundel,proposed,pending,no,,,,,,,2026-09-16,,,,0,,,,,,0,no
prj_93,Brightseat Tech Park Data Center Development,MD,prince george's,proposed,pending,no,2025-01-01,year,,,,,2026-02-07,820,opposition_events,87,2,2025-09-01,2026-01-01,122,,moratorium,8,no
prj_94,Quantum Frederick,MD,frederick,construction,advanced_confirmed,yes,2021-01-01,year,,,,,2026-02-07,264,proposals,2100,4,2025-12-24,2026-07-01,189,,executive_action; lawsuit; legislation; regulatory_action; zoning_restriction,4,yes
prj_95,Piney Reach Data Center Development,MD,charles,preliminary,pending,no,2025-01-01,year,,,,,2026-02-07,,,432,1,2026-04-22,2026-04-22,0,,infrastructure_opposition; moratorium; utility_regulation,0,no
prj_96,Johns Hopkins Data Science and Artificial Intelligence Institute (DSAI),MD,baltimore,construction,advanced_confirmed,yes,2024-01-01,year,,,,,2026-03-05,,,,1,2026-01-08,2026-01-08,0,,other_opposition; regulatory_action,2,no
prj_97,Atmosphere Dickerson Data Center,MD,montgomery,proposed,pending,no,2026-02-01,month,,,,,2026-09-21,360,proposals,110,3,2026-02-01,2026-06-13,132,,executive_action; moratorium; zoning_restriction,4,no
prj_98,Laurel Data Center,MD,prince george's,proposed,pending,no,2024-05-01,month,,,,,2026-02-07,20,proposals,100,0,,,,,,0,no
prj_99,Servistar Westfield,MA,hampden,proposed,pending,no,2021-01-01,year,,,,,,42,opposition_events,61.984,2,2024-11-01,2026-07-06,612,,moratorium; project_withdrawal,2,no
prj_100,Holyoke Data Center,MA,hampden,proposed,pending,no,2026-06-01,month,,,,,2026-06-16,20,proposals,,2,2026-01-01,2026-06-18,168,,moratorium; ordinance; zoning_restriction,1,no
prj_101,Everett Docklands Data Center,MA,middlesex,proposed,pending,no,,,,,,,2026-09-16,5,opposition_events,,1,2026-02-24,2026-02-24,0,,zoning_restriction,1,no
prj_102,Project Mitten / The Barn,MI,washtenaw,construction,advanced_confirmed,yes,2025-10-01,month,,,,,2026-04-20,1400,proposals,250,9,2025-08-12,2026-05-06,267,,community_benefit_agreement; lawsuit; moratorium; other_opposition; permit_denial; regulatory_action; zoning_restriction,7,yes
prj_103,Project Cannoli,MI,wayne,proposed,pending,no,2025-12-01,month,,,,,2026-03-01,1000,proposals,280,1,2026-06-17,2026-06-17,0,,public_comment,1,no
prj_104,32 Mile Road Technical Campus,MI,macomb,delayed,pending,no,2025-01-01,year,,,,,2026-03-02,,,312.2,1,2026-03-11,2026-03-11,0,,zoning_restriction,1,no
prj_105,Microsoft Gaines Township Data Center,MI,kent,proposed,pending,no,2026-01-01,year,,,,,2026-03-04,,,356,5,2025-12-18,2026-05-18,151,,moratorium; other_opposition; zoning_restriction,5,no
prj_106,Rocklocker Kalkaska Data Center,MI,kalkaska,withdrawn,blocked_confirmed,yes,2025-01-01,year,,,,,2026-03-06,1000,opposition_events,1440,3,2025-11-01,2026-05-15,195,,project_withdrawal; public_comment; regulatory_action; utility_regulation,1,no
prj_107,Ypsilanti University of Michigan × Los Alamos Supercomputing Research Center,MI,washtenaw,proposed,pending,no,2025-01-01,year,,,,,2026-03-08,110,opposition_events,124,3,2025-06-01,2026-04-22,325,,infrastructure_opposition; moratorium; public_comment; utility_regulation,1,no
prj_108,Project Cherry Blossom,MI,monroe,proposed,pending,no,2025-11-01,month,,,,,2026-03-09,,,200,2,2025-11-17,2026-02-10,85,,moratorium; public_comment,4,no
prj_109,Project Ironwood,MI,monroe,proposed,pending,no,2025-07-01,month,,,,,2026-03-09,,,750,1,2025-10-02,2025-10-02,0,,moratorium,2,no
prj_110,Project Flex,MI,oakland,proposed,pending,no,2025-09-01,month,,,,,2026-03-09,,,172,5,2026-01-08,2026-05-11,123,,moratorium; other_opposition; regulatory_action; study_or_report,5,no
prj_111,Deep Green Lansing Data Center,MI,ingham,withdrawn,blocked_confirmed,yes,2025-11-01,month,,,,,2026-04-06,24,proposals,3,3,2026-01-15,2026-04-06,81,,project_withdrawal; zoning_restriction,5,no
prj_112,Pavilion Township Data Center,MI,kalamazoo,withdrawn,blocked_confirmed,yes,2025-01-01,year,,,,,2026-03-13,,,265,1,2026-01-01,2026-01-01,0,,moratorium,1,no
prj_113,Sansone York Township Data Center,MI,washtenaw,preliminary,pending,no,2025-12-01,month,,,,,2026-03-13,1000,proposals,412,1,2026-02-12,2026-02-12,0,,moratorium,1,no
prj_114,Metrobloks Southfield Data Center,MI,oakland,proposed,pending,no,2025-12-01,month,,,,,2026-03-13,100,proposals,12.19,1,2025-12-15,2025-12-15,0,,public_comment,1,no
prj_115,Benton Charter Township Data Center,MI,berrien,delayed,pending,no,2024-01-01,year,2025-08-18,"CRG Cumulus LLC withdrew its conditional use permit application (Monday afternoon, day before the 2025-08-19 council meeting); web-verified (STLPR 2025-08-18, govtech/Post-Dispatch 2025-08-19, KSDK, DCD 2025-08-22)",https://www.stlpr.org/news-briefs/2025-08-18/developer-controversial-data-center-st-charles,,2026-03-08,,,280,1,2025-11-01,2025-11-01,0,,public_comment,1,no
prj_116,Project Splitrock,MI,livingston,withdrawn,blocked_confirmed,yes,2025-09-01,month,,,,,2026-03-02,,,1077,0,,,,,,0,no
prj_117,Starkville Crypto Mine,MS,oktibbeha,rejected,blocked_confirmed,yes,,,,,,,2026-09-18,30,proposals,,0,,,,,,0,no
prj_118,Amazon Clinton,MS,hinds,proposed,pending,no,2026-01-01,month,,,,,2026-09-18,,,99,1,2026-01-15,2026-01-15,0,,public_comment,1,no
prj_119,Amazon Ridgeland,MS,madison,construction,advanced_confirmed,yes,2024-01-01,month,2026-02-18,"New Brunswick City Council voted unanimously Wednesday 2026-02-18 to amend the Jersey-Sandford redevelopment plan, removing data centers as a permitted use and restoring the park requirement; web-verified (Jersey Vindicator 2026-02-21 'voted unanimously Wednesday, Feb. 18'; Food and Water Watch 2026-02-20; TAPinto 2026-02-20)",https://jerseyvindicator.org/2026/02/21/new-brunswick-rejects-data-center-plan-following-public-backlash/,779,2026-09-22,,,786,1,2026-05-15,2026-05-15,0,,regulatory_action; utility_regulation,0,no
prj_120,Project Steamboat,MS,warren,proposed,pending,no,2025-11-01,month,2026-06-08,"American Tower (Mt. Royal Data Storage Facility) formally withdrew its Planning/Zoning Board application; mayor announced the withdrawal, June 30 hearing then canceled; township adopted a data center ban ordinance; web-verified (DataCenterDynamics 2026-06, 42Freeway 2026-06-10 'on Monday', GovTech 2026-06-12)",https://www.datacenterdynamics.com/en/news/american-tower-withdraws-plans-for-data-center-in-new-jersey/,219,2026-09-18,,,,1,2025-11-20,2025-11-20,0,,public_comment,1,no
prj_121,Meridian Compass Data Center,MS,lauderdale,construction,advanced_confirmed,yes,2025-01-01,month,,,,,2026-04-15,500,proposals,,2,2025-11-01,2025-12-29,58,,public_comment,1,no
prj_122,Clarksdale Data Center,MS,coahoma,preliminary,pending,no,2026-03-01,month,2026-05-19,"Millville Board of Commissioners vote adopting citywide data center ban ordinance, ending this proposal; web-verified (ROI-NJ 2026-05-20, News 12 NJ 2026-05-20, Let's Data Science 2026-05-20)",https://www.roi-nj.com/2026/05/20/tech/millville-bans-data-centers-rejecting-largest-proposed-facility-in-n-j/,79,2026-09-18,,,648,4,2026-01-15,2026-05-19,124,,moratorium; ordinance; public_comment; zoning_restriction,5,no
prj_123,xAI MACROHARDRR,MS,bdesoto,construction,advanced_confirmed,yes,2026-01-01,month,2026-04-22,"Monroe Township (Gloucester County) Council passed two ordinances prohibiting data centers township-wide, foreclosing the Hexa Builders redevelopment-area data center conversion; web-verified (CBS Philadelphia 2026-05-08 'On April 22, Monroe Township passed two ordinances', Food & Water Watch 2026-04-28)",https://www.cbsnews.com/philadelphia/news/monroe-gloucester-new-jersey-data-center-ban-law/,111,2026-09-18,495,opposition_events,18.3654729,7,2025-11-24,2026-07-14,232,,lawsuit; other_opposition; public_comment; regulatory_action; study_or_report,5,yes
prj_124,Taurus Data Center Hub,MS,rankin,construction,advanced_confirmed,yes,2025-08-01,month,,,,,2026-09-18,450,proposals,175,1,2025-09-01,2025-09-01,0,,public_comment,1,no
prj_125,Amazon Madison Mega Site,MS,madison,expansion,advanced_confirmed,yes,2024-01-01,year,,,,,2026-09-22,,,927,3,2026-03-01,2026-04-09,39,,lawsuit; public_comment,8,yes
prj_126,Nebius Independence Hyperscale Campus,MO,jackson,construction,advanced_confirmed,yes,2026-01-01,year,,,,,2026-09-11,800,proposals,398,2,2026-01-16,2026-02-10,25,,lawsuit; public_comment; zoning_restriction,2,yes
prj_127,Project Green,MO,montgomery,proposed,pending,no,2026-01-01,month,,,,,2026-05-09,,,1000,1,2026-02-16,2026-02-16,0,,lawsuit,1,yes
prj_128,Project Spade,MO,montgomery,proposed,pending,no,2025-11-01,month,,,,,2026-05-09,1200,proposals,910,1,2026-03-12,2026-03-12,0,,moratorium,1,no
prj_129,Crusoe Warrenton AI Data Center,MO,warren,proposed,pending,no,2026-01-01,year,,,,,2026-05-21,,,,1,2026-01-20,2026-01-20,0,,zoning_restriction,1,no
prj_130,CRG Festus Data Center,MO,jefferson,proposed,pending,no,,,,,,,2026-05-09,,,360,1,2026-04-10,2026-04-10,0,,lawsuit,4,yes
prj_131,Metrobloks Liberty Data Center Campus,MO,clay,proposed,pending,no,,,,,,,2026-05-09,150,proposals,30,1,2026-03-24,2026-03-24,0,,zoning_restriction,1,no
prj_132,Lambda AI Factory,MO,jackson,proposed,pending,no,,,,,,,2026-05-09,24,proposals,,0,,,,,,0,no
prj_133,Jasper County Powered Data Park / Sarcoxie Data Center,MO,jasper,proposed,pending,no,,,,,,,2026-05-09,,,,0,,,,,,0,no
prj_134,Meramec Valley Technology Park,MO,franklin,proposed,pending,no,2026-01-01,year,,,,,2026-05-09,1300,opposition_events,500,1,2026-02-25,2026-02-25,0,,zoning_restriction,2,no
prj_135,Gateway Digital Campus,MO,franklin,proposed,pending,no,2026-01-01,year,,,,,2026-05-09,,,575,3,2026-01-15,2026-03-17,61,,zoning_restriction,6,no
prj_136,Meta Kansas City Data Center,MO,clay,operational,advanced_confirmed,yes,2025-01-01,year,,,,,2026-05-09,,,,0,,,,,,0,no
