bill_key,state,identifier,title,session,stage,stage_date,direction,direction_rule,subject_basis,subject_scope,reach,instrument,in_frame_via,lookup_status,openstates_url,n_positions
GA:SB 410,GA,SB 410,State Sales and Use Taxes; the data center equipment sales and use tax exemption; repeal,2025_26,Passed one chamber,2026-03-06,restrictive,incentive_repeal,title_term,primary,data_center_specific,incentive_repeal,Accelerate data center tax exemption sunset (HB 559),matched,https://openstates.org/ga/bills/2025_26/SB410/,552
IL:SB 4004,IL,SB 4004,AQUIFER PROTECTION ACT,104th,Introduced,2026-02-06,unclassified,,title_domain_unrecognised,,unestablished,unclassified,Ban data center development NDAs in IL,matched,https://openstates.org/il/bills/104th/SB4004/,1
IN:HB 1210,IN,HB 1210,Department of local government finance.,2026,Signed into law,2026-03-12,unclassified,,incident_corroborated:land_use,partial,sector_vehicle,unclassified,Require data centers to pay 1% of tax savings locally,ambiguous_session,https://openstates.org/in/bills/2026/HB1210/,350
IN:HB 1333,IN,HB 1333,Land use and development.,2026,Failed floor vote,2026-01-29,unclassified,,incident_corroborated:land_use,partial,sector_vehicle,incentive_repeal,Repeal data center tax exemptions in IN,ambiguous_session,https://openstates.org/in/bills/2026/HB1333/,200
KY:SB 197,KY,SB 197,"AN ACT providing funding and establishing conditions for state government agencies and institutions, making an appropriation therefor, and declaring an emergenc",2026RS,Signed into law,2026-04-27,unclassified,,incident_corroborated:taxation,partial,sector_vehicle,disclosure_reporting,Commission legislative study on data center impacts in KY,ambiguous_session,https://openstates.org/ky/bills/2026RS/SB197/,176
LA:HB 827,LA,HB 827,TAX/TAX REBATES: Provides relative to sales and use tax rebates on the sale of certain communications and data center equipment (EN DECREASE GF RV See Note),2024,Signed into law,2024-06-19,enabling,incentive_grant,title_term,primary,data_center_specific,incentive_grant,Enact 20-30 year sales-tax rebate to attract hyperscaler data centers,matched,https://openstates.org/la/bills/2024/HB827/,144
MD:HB 1532,MD,HB 1532,Utility RELIEF (Reducing Energy Load Inflation for Everyday Families) Act,2026,Signed into law,2026-05-12,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,unclassified,Ban data center construction on TIF-funded land and require PSC oversight of transmission projects in Baltimore City,ambiguous_session,https://openstates.org/md/bills/2026/HB1532/,9024
ME:LD 307,ME,LD 307,"An Act Regarding Energy, Utilities And Technology",132,Failed floor vote,2026-04-29,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,incentive_grant,Oppose tax incentives for Sentinel Data Centers in Jay,matched,https://openstates.org/me/bills/132/LD307/,4480
ME:LD 713,ME,LD 713,An Act Regarding Taxation,132,Signed into law,2026-04-23,unclassified,,incident_corroborated:taxation,partial,sector_vehicle,incentive_repeal,Exclude data centers from Maine BETE and Dirigo tax incentive programs (signed 2026-04-24),matched,https://openstates.org/me/bills/132/LD713/,220
MI:SB 1018,MI,SB 1018,Businesses: other; moratorium on certain approvals for and operation of any new data centers; provide for. Creates new act.   TIE BAR WITH: SB 1019'26,2025-2026,Introduced,2026-06-04,restrictive,moratorium_prohibition,title_term,primary,data_center_specific,moratorium_prohibition,Repeal Michigan's data center tax exemptions and press for a statewide moratorium,matched,https://openstates.org/mi/bills/2025-2026/SB1018/,1
NC:SB 730,NC,SB 730,Ratepayer Protection Act.,2025,Passed both chambers,2026-06-03,unclassified,,human_override,partial,sector_vehicle,ratepayer_cost_allocation,,matched,https://openstates.org/nc/bills/2025/SB730/,236
ND:HB 1579,ND,HB 1579,AN ACT to provide for a legislative management study relating to the impact of large energy consumers on the state's electrical grid.,69,Signed into law,2025-04-29,disclosure,disclosure_reporting,title_class_term,primary,large_load_class,disclosure_reporting,Mandate study on large energy consumer grid impacts (HB 1579),matched,https://openstates.org/nd/bills/69/HB1579/,140
NE:LB 1261,NE,LB 1261,Prohibit the use of eminent domain to acquire certain privately owned electric generation facilities,109,Signed into law,2026-04-17,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,moratorium_prohibition,Prohibit eminent domain for data center land acquisition,matched,https://openstates.org/ne/bills/109/LB1261/,785
NE:LB 209,NE,LB 209,Change provisions relating to homestead exemptions for certain veterans and a property tax exemption for certain facilities,109,Signed into law,2025-02-26,unclassified,,incident_corroborated:taxation,partial,sector_vehicle,incentive_grant,Oppose tax incentives for Meta/Google in Sarpy County,matched,https://openstates.org/ne/bills/109/LB209/,98
NH:SB 439,NH,SB 439,relative to municipal data center zoning.,2026,Passed one chamber,2026-01-29,restrictive,siting_zoning,title_term,primary,data_center_specific,siting_zoning,Enable NH local planning boards to adopt data center zoning regulations,matched,https://openstates.org/nh/bills/2026/SB439/,48
NJ:A 5462,NJ,A 5462,Requires electric public utilities to develop and apply special rules for large load customers to protect non-large load customers from increased costs.**,221,Passed both chambers,2026-01-12,restrictive,ratepayer_cost_allocation,title_class_term,primary,large_load_class,ratepayer_cost_allocation,Create large-load utility tariff for 100MW+ data centers (A5462),matched,https://openstates.org/nj/bills/221/A5462/,90
OH:HB 646,OH,HB 646,Create the Data Center Study Commission,136,Passed both chambers,2026-06-10,disclosure,disclosure_reporting,title_term,primary,data_center_specific,disclosure_reporting,Mandate data center water disclosure via HB 646,matched,https://openstates.org/oh/bills/136/HB646/,240
OH:HB 96,OH,HB 96,Make state operating appropriations for FY 2026-27,136,Signed into law,2025-06-30,unclassified,,incident_corroborated:taxation,partial,sector_vehicle,incentive_repeal,Repeal data center tax exemptions via HB 96,matched,https://openstates.org/oh/bills/136/HB96/,513
OK:HB 2992,OK,HB 2992,Corporation Commission; creating the Data Center Customer Ratepayer Protection Act of 2026; effective date; emergency.,2026,Signed into law,2026-05-11,restrictive,ratepayer_cost_allocation,title_term,primary,data_center_specific,ratepayer_cost_allocation,Protect Oklahoma ratepayers from data center cost shifts via HB 2992,matched,https://openstates.org/ok/bills/2026/HB2992/,754
OR:HB 3546,OR,HB 3546,Relating to large energy use facilities; and declaring an emergency.,2025R1,Signed into law,2025-06-16,unclassified,unclassified,title_class_term,primary,large_load_class,unclassified,Expand data center tax exemptions via HB 3546,matched,https://openstates.org/or/bills/2025R1/HB3546/,166
OR:HB 4084,OR,HB 4084,Relating to economic development; and prescribing an effective date.,2026R1,Signed into law,2026-03-31,unclassified,,incident_corroborated:economic_development,partial,sector_vehicle,incentive_repeal,Repeal data center tax exemptions via HB 4084,matched,https://openstates.org/or/bills/2026R1/HB4084/,314
PA:HB 2150,PA,HB 2150,An Act providing for annual reporting of energy consumption and water consumption by data centers; and imposing a penalty.,2025-2026,Passed one chamber,2026-04-13,restrictive,water_environmental,title_term,primary,data_center_specific,water_environmental,Develop state model data center zoning ordinance (HB 2151),matched,https://openstates.org/pa/bills/2025-2026/HB2150/,580
PA:HB 2151,PA,HB 2151,"An Act amending Title 53 (Municipalities Generally) of the Pennsylvania
 Consolidated Statutes, providing for data center ordinance
 assistance.",2025-2026,Passed one chamber,2026-04-13,restrictive,siting_zoning,title_term,primary,data_center_specific,siting_zoning,Develop state model data center zoning ordinance (HB 2151),matched,https://openstates.org/pa/bills/2025-2026/HB2151/,706
PA:HB 2496,PA,HB 2496,"An Act amending the act of July 31, 1968 (P.L.805, No.247), known as the Pennsylvania Municipalities Planning Code, in general provisions, providing for pause o",2025-2026,Passed one chamber,2026-06-24,unclassified,unclassified,human_override,primary,large_load_class,unclassified,,matched,https://openstates.org/pa/bills/2025-2026/HB2496/,1005
SD:HB 1005,SD,HB 1005,provide a sales and use tax exemption for goods and services related to data center operations.,2026,Introduced,2026-01-13,enabling,incentive_grant,title_term,primary,data_center_specific,incentive_grant,Shield ratepayers from data center costs via HB 1005,ambiguous_session,https://openstates.org/sd/bills/2026/HB1005/,13
SD:HB 1038,SD,HB 1038,allow the Public Utilities Commission to assess actual costs to data centers that are customers of public utilities.,2026,Signed into law,2026-03-30,unclassified,unclassified,title_term,primary,data_center_specific,unclassified,Ban data center development NDAs via SB 135,ambiguous_session,https://openstates.org/sd/bills/2026/HB1038/,197
SD:SB 135,SD,SB 135,protect residents from increased utility costs and utility shortages caused by data centers and clarify authority to regulate data centers.,2026,Signed into law,2026-03-30,restrictive,ratepayer_cost_allocation,title_term,primary,data_center_specific,ratepayer_cost_allocation,Enact statewide data center moratorium in SD,ambiguous_session,https://openstates.org/sd/bills/2026/SB135/,788
SD:SB 232,SD,SB 232,impose a one-year moratorium on the construction or expansion of hyperscale data centers.,2026,Introduced,2026-02-05,restrictive,moratorium_prohibition,title_term,primary,data_center_specific,moratorium_prohibition,Enact statewide data center moratorium in SD,matched,https://openstates.org/sd/bills/2026/SB232/,18
TN:HB 1847,TN,HB 1847,"Computers and Electronic Processing - As enacted, generally prohibits a municipality or electric utility to pay or absorb the cost of electrical infrastructure",114,Signed into law,2026-05-07,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,moratorium_prohibition,Authorize >50 MW data centers to self-generate electricity outside utility regulation,matched,https://openstates.org/tn/bills/114/HB1847/,4
TN:SB 2128,TN,SB 2128,"Computers and Electronic Processing - As enacted, generally prohibits a municipality or electric utility to pay or absorb the cost of electrical infrastructure incurred to serve a data center; makes related changes. - Amends TCA Title 5; Title 6; Title 7; Title 13 and Title 65.",114,Introduced,2026-01-22,restrictive,moratorium_prohibition,title_term,primary,data_center_specific,moratorium_prohibition,Authorize >50 MW data centers to self-generate electricity outside utility regulation,matched,https://openstates.org/tn/bills/114/SB2128/,20
UT:HB 76,UT,HB 76,Data Center Water Transparency Amendments,2026,Signed into law,2026-03-23,disclosure,disclosure_reporting,title_term,primary,data_center_specific,disclosure_reporting,Mandate data center water use reports with $10K/day fines (HB 76),ambiguous_session,https://openstates.org/ut/bills/2026/HB76/,416
VA:HB 1393,VA,HB 1393,Electric utilities; pilot program for energy assistance and weatherization for certain individuals.,2026,Vetoed,2026-04-13,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,unclassified,Shift data center infrastructure costs away from residential ratepayers,matched,https://openstates.org/va/bills/2026/HB1393/,587
VA:HB 155,VA,HB 155,Electric utilities; certificate of operation for high-load facilities.,2026,Introduced,2026-01-06,restrictive,siting_zoning,title_class_term,primary,large_load_class,siting_zoning,Prevent data center cost pass-through to residential rates in VA,matched,https://openstates.org/va/bills/2026/HB155/,9
VA:HB 507,VA,HB 507,"Data centers; permit requirements, emission limits for certain engine-generator sets.",2026,Signed into law,2026-04-08,restrictive,siting_zoning,title_term,primary,data_center_specific,siting_zoning,Tax data center electricity consumption and tighten backup-generator air permitting statewide,matched,https://openstates.org/va/bills/2026/HB507/,452
VA:SB 253,VA,SB 253,Electric utilities; pilot programs for energy assistance and weatherization for certain individuals.,2026,Vetoed,2026-04-13,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,unclassified,Shield residential ratepayers from data center costs in VA,matched,https://openstates.org/va/bills/2026/SB253/,980
VA:SB 619,VA,SB 619,Electric utilities; certificate of operation for high-load facilities.,2026,Passed one chamber,2026-02-16,restrictive,siting_zoning,title_class_term,primary,large_load_class,siting_zoning,Prevent data center cost pass-through to residential rates in VA,matched,https://openstates.org/va/bills/2026/SB619/,119
VA:SB 94,VA,SB 94,"Data centers; site assessment, sound profile of the high energy use facility.",2026,Signed into law,2026-04-13,restrictive,water_environmental,title_term,primary,data_center_specific,water_environmental,"Require site impact assessments for 100MW+ data centers near farms, parks, and homes",matched,https://openstates.org/va/bills/2026/SB94/,490
WA:HB 2515,WA,HB 2515,Addressing emerging large energy use facilities.,2025-2026,Died in committee,2026-02-02,restrictive,ratepayer_cost_allocation,title_class_term,primary,large_load_class,ratepayer_cost_allocation,Require sustainability reports and ratepayer tariffs in Washington,matched,https://openstates.org/wa/bills/2025-2026/HB2515/,98
WA:SB 5982,WA,SB 5982,"Updating provisions for consumer-owned utilities, including port districts, and affected market customers under the clean energy transformation act.",2025-2026,Signed into law,2026-03-24,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,ratepayer_cost_allocation,Require sustainability reports and ratepayer tariffs in Washington,matched,https://openstates.org/wa/bills/2025-2026/SB5982/,196
WA:SB 6231,WA,SB 6231,Removing a tax exemption for the replacement of equipment for data centers.,2025-2026,Signed into law,2026-04-01,restrictive,incentive_repeal,title_term,primary,data_center_specific,incentive_repeal,Repeal data center tax exemptions via SB 6231,matched,https://openstates.org/wa/bills/2025-2026/SB6231/,246
WI:AB 840,WI,AB 840,Relating to: certain requirements related to data centers.,2025,Passed one chamber,2026-01-20,unclassified,unclassified,title_term,primary,data_center_specific,unclassified,Shield residential ratepayers from data center costs in WI,matched,https://openstates.org/wi/bills/2025/AB840/,293
WV:HB 2014,WV,HB 2014,Certified Microgrid Program,2025,Signed into law,2025-04-12,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,supply_enablement,Challenge state preemption of local zoning for Penzance's $4B data center certified under WV HB 2014,matched,https://openstates.org/wv/bills/2025/HB2014/,1336
WV:HB 4983,WV,HB 4983,Authorizing the Department of Commerce to promulgate a legislative rule relating to certification of a microgrid district or certification as a high impact data,2026,Signed into law,2026-03-30,enabling,supply_enablement,title_term,primary,data_center_specific,supply_enablement,Mandate data center water disclosure via HB 5590,matched,https://openstates.org/wv/bills/2026/HB4983/,1454
WY:HB 90,WY,HB 90,State engineer-consumptive water use study.,2026,Died in committee,2026-02-23,unclassified,,incident_corroborated:environment_water,partial,sector_vehicle,water_environmental,Appropriate $500K to study large-scale industrial water use by data centers in Wyoming,ambiguous_session,https://openstates.org/wy/bills/2026/HB90/,85
