submitted_on,submitted_by,match_incident,match_date,match_url,field,new_value,reason,status,applied_on,result_note
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,State,CA,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,County,Riverside County,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Scope,local,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Issue Category,water; grid_energy; farmland; community_impact,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Objective,Permanently prohibit data centers citywide in Coachella,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Authority Level,city_council,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Status,pending,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Community Outcome,pending,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Summary,"Follow-on to Coachella's June 4, 2026 45-day data center moratorium (Urgency Ordinance 1229; separate record): on August 12, 2026 the City Council passed the first reading of an ordinance to permanently ban data centers citywide, with the second reading and final adoption vote scheduled for August 26, 2026. Recorded per legislative outcome discipline: a first reading is not enactment, so Status stays pending until the second reading passes and the ordinance takes effect. This permanent ban is a separate and later action than the June 4 moratorium and the two must not be merged.",Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Sources,https://kesq.com/news/2026/08/12/coachella-passes-first-reading-of-permanent-ban-on-data-centers-second-vote-on-aug-26/; https://kesq.com/news/2026/08/12/coachella-city-council-to-consider-permanent-ban-on-data-centers/; https://kesq.com/news/2026/08/25/coachella-city-council-expected-to-permanently-ban-data-centers/,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,lat,33.6803,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,lon,-116.1739,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,Coachella City Council to consider permanent ban on data centers,2026-08-12,,DELETE_ROW,DELETE,Consolidated into the curated Coachella permanent-ban record (this URL is carried in that record's Sources).,applied,2026-08-26,removed 1 row(s)
2026-08-26,record_review_2026_08,Coachella City Council expected to permanently ban data centers,2026-08-26,,DELETE_ROW,DELETE,Byte-identical duplicate pair (same URL promoted twice by the harvest) consolidated into the curated Coachella permanent-ban record (URL carried in that record's Sources).,applied,2026-08-26,removed 2 row(s)
2026-08-26,record_review_2026_08,"Imperial County (data center moratorium + by-right elimination advancing), CA",2026-06-16,,APPEND_SUMMARY,"Record review 2026-08: Imperial County comprises two distinct sets of actions that outside coverage has conflated. (1) The County's own action is this June 16, 2026 45-day moratorium, extended July 14, 2026 by 10 months and 15 days (through June 2027). (2) The August 4, 2026 KPBS coverage ('After months of public outcry, Imperial Valley cities are hitting the brakes on data centers') concerns the separate CITY actions - Calipatria, Brawley, City of Imperial, and Calexico, each tracked as its own record - not a new County action. The County acted June 16, not August 4.","Report correction: Imperial County is two actions, not one; the August 4, 2026 coverage concerns Imperial Valley cities, not the County.",applied,2026-08-26,was data_source='datacentertracker.org'
2026-08-26,record_review_2026_08,"Imperial County (data center moratorium + by-right elimination advancing), CA",2026-06-16,,APPEND_SOURCES,https://www.kpbs.org/news/environment/2026/08/04/after-months-of-public-outcry-imperial-valley-cities-are-hitting-the-brakes-on-data-centers,"Report correction: Imperial County is two actions, not one; the August 4, 2026 coverage concerns Imperial Valley cities, not the County.",applied,2026-08-26,was data_source='datacentertracker.org'
2026-08-26,record_review_2026_08,"Reno (data center moratorium extended into 2027), NV",2026-06-01,,APPEND_SUMMARY,"Record review 2026-08-26: Reno remains under the data center moratorium, extended into 2027 by this June 1, 2026 council vote, while the Title 18 text amendment (data center definitions, siting, noise, and water-use rules) is completed.",Report correction: Reno remains under a moratorium extended into 2027.,applied,2026-08-26,was data_source='datacentertracker.org'
