Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
Santa Clara (GI Partners),Santa Clara (GI Partners),2024-03-06,GI Partners,"Santa Clara (GI Partners), CA",zoning_restriction,1,https://www.svvoice.com/planning-commission-blocks-data-center-project/,CA,Santa Clara County,local,community_impact; grid_energy,Uphold denial of GI Partners data center on appeal,planning_commission,approved,loss,,GI Partners,,,72,5,,,"Santa Clara Planning Commission denied a 72MW data center permit at 2805 Bowers Ave (3-2 in favor; failed the required 4-vote majority, so the permit was denied). Chair noted the city has 50+ data centers consuming 60% of its energy and asked 'when is it too many?' GI Partners appealed; City Council approved the project Aug 29, 2024. The community's stated objective was to uphold denial of GI Partners data center on appeal. The project involves 5 acres.",https://www.svvoice.com/planning-commission-blocks-data-center-project/; https://www.datacenterdynamics.com/en/news/gi-partners-secures-planning-permission-for-72mw-data-center-in-santa-clara-california/,,,,,,,37.354,-121.955
Adair County,Adair County,2024-04-24,Applied Digital,"Adair County, IA",zoning_restriction,1,https://www.datacenterdynamics.com/en/news/applied-digital-faces-opposition-to-planned-data-center-in-adair-county-iowa/,IA,Adair County,local,design_standards; noise; zoning,Impose 1200-foot data center setbacks in Adair County,county_commission,active,pending,,Applied Digital,,1500,200,200,,Adair County Residents (ad hoc),"Applied Digital proposed a 200MW, $1.5B data center with two 300,000 sq ft buildings adjacent to a NextEra substation connected to wind farms in Guthrie and Audubon counties. Supervisors drafted a setback ordinance after a county meeting on April 2, 2024, but put it on hold after the third reading was not completed, opting to consult further with legal counsel. As of early 2026, no formal ordinance has been adopted and the county still has no comprehensive zoning plan, leaving limited regulatory tools to govern the project. The project remains in early-stage limbo with no public groundbreaking confirmed.",https://www.datacenterdynamics.com/en/news/applied-digital-faces-opposition-to-planned-data-center-in-adair-county-iowa/; https://westerniowatoday.com/2024/04/10/adair-county-supervisors-discuss-proposed-data-center-and-set-public-hearing-on-an-ordinance-creating-setbacks/,,,,,,,41.331,-94.471
Maricopa County,Maricopa County,2024-05-01,Tract,"Maricopa County, AZ",zoning_restriction; project_withdrawal,1,https://www.datacenterdynamics.com/en/news/tract-announces-18gw-data-center-park-in-phoenix-arizona/,AZ,Maricopa County,local,community_impact; design_standards; noise; zoning; water,Block Tract data center through opposition in Maricopa County,developer,cancelled,win,,Tract,Project Range,14000,1800,1000,,City of Goodyear (official opposition); City of Buckeye (official opposition); Buckeye Residents Against Data Centers,"Tract withdrew its $14B 'Project Range' application for a 30-building, 5.6M sq ft data center campus on ~1,000 acres near Yuma and Perryville roads in unincorporated Maricopa County. Adjacent cities of Goodyear, Arizona, and Buckeye sent letters voicing concerns about the project, citing 'incompatibility' with surrounding residential neighborhoods and concerns about building heights, noise, and emergency resources. Denver-based Tract subsequently announced a 1,700-acre alternative campus in Buckeye south of I-10.","https://www.datacenterdynamics.com/en/news/tract-announces-18gw-data-center-park-in-phoenix-arizona/; https://therealdeal.com/national/phoenix/2024/05/02/tract-drops-14b-plan-to-build-data-centers-outside-phoenix/; https://www.abc15.com/news/business/14-billion-west-valley-data-center-project-request-withdrawn-after-cities-push-back; https://www.abc15.com/news/region-west-valley/community-concerned-over-major-new-data-center-project; https://www.yourvalley.net/goodyear-independent/stories/developer-pulls-goodyear-area-data-center-application-amid-grassroots-municipal-opposition,506154; https://www.yourvalley.net/stories/goodyear-area-529-acre-ai-data-center-campus-application-draws-opposition-water,484602",,,,,,,33.3484,-112.4955
Town of Chesterton,Town of Chesterton,2024-06-01,Provident Realty Advisors,"Town of Chesterton, IN",project_withdrawal,1,https://www.datacenterdynamics.com/en/news/application-for-13bn-data-center-in-chesterton-indiana-withdrawn/,IN,Porter County,local,community_impact; design_standards; environmental; noise; traffic; water; air_quality; property_values,Community pressure forces Provident Realty Advisors to withdraw in Town of Chesterton,city_council,cancelled,win,,Provident Realty Advisors,Brassie Golf Course Data Center,1300,,200,,Citizens Action Coalition; Stop Duneland and Valpo/Wheeler Data Centers,"Provident Realty Advisors proposed a $1.3B data center on the 200-acre former Brassie Golf Course site along Pearson Road. The plan called for eight buildings at 150,000 sq ft each with backup generators. At a Memorial Day meeting, 60-75 residents gathered at Dogwood Park voicing concerns about noise, air quality, water, wetlands, wildlife, property values, and mental health impacts. The developer proposed landscaping buffers and noise suppressors. The Town Council declared it could 'never support this project' at its current scale, and Provident abandoned the proposal on June 10, 2024. The developer subsequently moved to Burns Harbor with a similar proposal.",https://www.datacenterdynamics.com/en/news/application-for-13bn-data-center-in-chesterton-indiana-withdrawn/; https://www.nwitimes.com/news/local/business/brassie-golf-course-provident-realty-advisors-data-center/article_f3650940-19d5-11ef-a122-d76b20ae0b48.html; https://www.nwitimes.com/news/local/jenny-hansen-chesterton-data-center-provident-realty-advisors/article_74c63836-1d16-11ef-87f9-fbc5e91dccff.html; https://www.foxcarolina.com/2026/02/12/threat-our-community-canton-halts-data-center-construction-with-one-year-moratorium/; https://nclocal.org/2026/02/12/town-of-canton-blocks-any-potential-data-center-for-one-year/; https://www.nwitimes.com/news/local/business/chesterton-data-center-provident-realty-advisors/article_cfa2c0e8-27e4-11ef-82c9-13d5c84f02ce.html; https://www.chicagotribune.com/2024/06/16/different-receptions-for-1-billion-investments-data-center-proposals-welcomed-in-laporte-but-not-in-chesterton/; https://www.inkfreenews.com/2025/05/05/data-center-wave-stalls-as-indiana-communities-push-back/; https://www.citact.org/about; https://www.change.org/p/stop-chesterton-data-center-campus; https://www.insideindianabusiness.com/articles/chesterton-data-center-project-withdrawn; https://www.nwitimes.com/news/local/business/data-center-provident-realty-advisors-chesterton/article_da2f9234-1f42-11ef-b4ef-f35b554f7907.html,,https://www.facebook.com/cacindiana,,https://www.change.org/p/stop-chesterton-data-center-campus,118,,41.6103,-87.0642
DeKalb County,DeKalb County,2024-06-01,Unknown,"DeKalb County, TN",zoning_restriction,1,https://www.wjle.com/county-commission-to-renew-discussion-about-proposed-data-center-regulations-view-video-here/,TN,DeKalb County,local,design_standards; noise,Impose 5000-foot data center setbacks in DeKalb County,county_commission,expired,win,,,,,,,,,"DeKalb County, Tennessee, Commission, considered data center regulations proposed by County Mayor Matt Adcock after receiving an inquiry about a nuclear-powered data center. The proposed resolution would prohibit data centers within 5,000 feet of residences, schools, daycares, parks, churches, commercial, or industrial establishments. Commissioner Tom Chandler called the resolution 'a sham' arguing the 5,000-foot restriction makes permit approval impossible anywhere in the county. The commission has continued to defer action on the resolution and has not adopted a final ordinance as of early 2026.",https://www.wjle.com/county-commission-to-renew-discussion-about-proposed-data-center-regulations-view-video-here/; https://www.wjle.com/dekalb-location-regulations-on-quarries-and-other-operations-now-unenforceable-after-state-supreme-court-ruling-in-grundy-county-case/,,,,,,,35.982,-85.832
Clinton County,Clinton County,2025-12-08,NextEra Energy / Clinton County Wind LLC,"Clinton County, IA",moratorium,1,https://www.clintonherald.com/news/county-supervisors-place-moratorium-on-wind-project-applications/article_1a96408a-29d3-11ef-9b45-47e3bc50532b.html,IA,Clinton County,local,community_impact; zoning,Pause wind energy projects in Clinton County pending regulations,county_commission,active,pending,,NextEra Energy / Clinton County Wind LLC,,,,,,,"Clinton County enacted a moratorium on wind project applications on June 10, 2024, extended multiple times through September 2025, prompted by NextEra Energy and Sky Pilot Wind/Ranger Power outreach to Delmar and Grand Mound residents. A separate resolution to end the county's data mining facility moratorium was presented on December 8, 2025, but no action was taken — the data center moratorium remains in effect. Iowa is seeing a statewide wave of data center regulation, with Linn County adopting one of the nation's strictest local zoning ordinances in February 2026.",https://www.clintonherald.com/news/county-supervisors-place-moratorium-on-wind-project-applications/article_1a96408a-29d3-11ef-9b45-47e3bc50532b.html; https://www.clintonherald.com/news/local_news/clinton-county-extends-wind-energy-moratorium/article_daa9b8a4-8f7b-4e0a-a574-d86e0bddba4a.html; https://www.clintonherald.com/news/local_news/county-adopts-new-wind-turbine-rules-developer-warns-of-litigation/article_c8dbdae2-84ed-43e4-a7f0-1f14eeef93b7.html; https://clintoncounty-ia.gov/files/meetings/2025-12-08_minutes_825.pdf,,,,,,,41.894,-90.534
City of Atlanta,City of Atlanta,2024-09-01,"Multiple (QTS, Switch, CyrusOne, and others)","City of Atlanta, GA",zoning_restriction,1,https://www.gpb.org/news/2024/09/04/atlanta-city-council-bans-data-centers-along-beltline,GA,Fulton County,local,community_impact; environmental; zoning,Ban data centers near MARTA stops and Beltline in Atlanta,city_council,passed,win,,"Multiple (QTS, Switch, CyrusOne, and others)",,,,,,Sierra Club Georgia Chapter; Science for Georgia,"Atlanta City Council enacted data center zoning restrictions in phases. In September 2024, data centers were prohibited within 2,640 feet of high-capacity transit stops and banned within the Beltline Overlay District. In June 2025, the council expanded restrictions by requiring special-use permits for all data center construction and outright barring projects in Little Five Points and East Atlanta Village neighborhoods. The ordinances apply to major operators including QTS, Switch, and others.",https://www.gpb.org/news/2024/09/04/atlanta-city-council-bans-data-centers-along-beltline; https://www.axios.com/local/atlanta/2024/09/05/atlanta-data-center-ban-beltline-central-business-district; https://www.datacenterdynamics.com/en/news/atlanta-city-council-passes-rules-limiting-data-center-locations/; https://atlanta.capitalbnews.org/atlanta-communities-fight-data-centers/; https://roughdraftatlanta.com/2024/12/03/atlanta-data-center-proposal/; https://citycouncil.atlantaga.gov/Home/Components/News/News/3928/; https://www.ajc.com/news/2025/06/atlanta-expands-restrictions-on-where-developers-can-build-data-centers/; https://www.bondbuyer.com/news/data-center-developments-in-atlanta-draw-questions-opposition,,https://www.facebook.com/Sci4GA/,,,,,33.749,-84.388
Fairfax County,Fairfax County,2024-09-10,Starwood Capital Group (SCG Global Holdings LLC),"Fairfax County, VA",zoning_restriction,1,https://www.datacenterfrontier.com/site-selection/article/55139905/northern-virginias-fairfax-county-tightens-data-center-rules,VA,Fairfax County,local,design_standards; environmental; noise; zoning,Impose 200-foot data center setbacks in Fairfax County,county_commission,passed,win,,Starwood Capital Group (SCG Global Holdings LLC),Plaza 500 Data Center,,,42,,Save Bren Mar Coalition; Sierra Club Virginia Chapter; Rose Hill Coalition,"Fairfax County Board of Supervisors adopted a Data Centers Zoning Ordinance Amendment on September 10, 2024, requiring a special exception for almost all data centers. The amendment imposes new restrictions on design, setbacks from residential uses, noise, and environmental concerns. Starwood Capital Group continues expanding in the county, converting a former NFL practice facility into data centers and proposing to buy 41.7 acres of county-owned land for $166.8M. The Plaza 500 site plan (461,444 sq ft) proceeds under pre-amendment by-right rules. The project involves 42 acres.",https://www.datacenterfrontier.com/site-selection/article/55139905/northern-virginias-fairfax-county-tightens-data-center-rules; https://www.hklaw.com/en/insights/publications/2024/09/fairfax-county-virginia-approves-updated-zoning-regulations; https://www.fairfaxcounty.gov/planning-development/data-centers; https://www.fairfaxcounty.gov/board-supervisors-approves-new-data-center-zoning-ordinance-amendment; https://sites.google.com/view/savebrenmar/home; https://www.fairfaxtimes.com/articles/fairfax_county/community-rallies-against-county-s-data-center-expansion/article_97db5e00-2419-11ef-b7b5-7b7a8975d46f.html; https://rosehillcoalition.org/rose-hill-planning-district/data-centers-in-fairfax-county/; https://annandaletoday.com/community-speaks-out-against-plaza-500-data-center/; https://www.datacenterknowledge.com/management/fairfax-county-residents-push-back-on-data-center-zoning; https://www.datacenterdynamics.com/en/news/starwood-looks-to-buy-county-owned-land-in-fairfax-virginia-for-data-center-development/; https://www.foxessellfaster.com/blog/1668-million-deal-developer-eyes-fairfax-county-police-training-campus-in-chantilly-for-massive-data-center-project/,https://sites.google.com/view/savebrenmar/home,,,,,,38.8462,-77.3064
Morton County,Morton County,2024-09-01,Unknown,"Morton County, ND",moratorium,1,https://www.govtech.com/policy/morton-county-n-d-will-consider-data-center-moratorium,ND,Morton County,local,zoning,Impose indefinite data centers moratorium in Morton County,county_commission,passed,win,,,,,,,,,"Morton County adopted a moratorium on data centers and cryptocurrency mining facilities in September 2024. The moratorium prevents permitting of these facilities until the county establishes local zoning regulations. The action came alongside a moratorium on direct air carbon capture facilities (adopted July 2024) after controversy over a Colorado company's special use permit application. County officials stated the moratoriums aim to develop local land use protections for residents, not block development entirely.",https://www.govtech.com/policy/morton-county-n-d-will-consider-data-center-moratorium; https://bismarcktribune.com/news/community/mandannews/carbon-capture-data-center-moratorium-morton-county/article_71da3208-1d20-11ef-842b-c363d5088882.html; https://bismarcktribune.com/news/state-regional/morton-county-hold-public-hearing-data-center-moratorium/article_c37d4074-58bb-11ef-bf47-03f5dd52259d.html,,,,,,,46.713,-101.28
Jackson County,Jackson County,2024-09-17,Simple Mining,"Jackson County, IA",moratorium,1,https://jacksoncounty.iowa.gov/supervisors/resolutions/,IA,Jackson County,local,grid_energy; zoning,Pause data centers in Jackson County pending regulations,county_commission,expired,mixed,,Simple Mining,,,,,,,"Jackson County enacted a data mining facility moratorium in September 2024 (Resolution #1066), which was lifted in November 2024 after supervisors and county staff studied the issue. The moratorium was described as a 'pause for fact-finding,' not a permanent stop. Simple Mining subsequently outlined plans for a data-mining facility at the Manchester Industrial Park, with the site plan receiving approval from the Manchester City Council. The facility would be the largest of Cedar Falls-based Simple Mining's operations.",https://jacksoncounty.iowa.gov/supervisors/resolutions/; https://jacksoncounty.iowa.gov/files/meetings/2025-05-19_minutes_9199.pdf; https://www.telegraphherald.com/news/tri-state/article_efb5a5f4-c946-11ef-bf6a-8f5650901c78.html,,,,,,,42.167,-90.576
City of Thorndale,City of Thorndale,2024-10-01,Data Factory Austin,"City of Thorndale, TX",zoning_restriction,2,https://theminermag.com/news/2024-10-11/thorndale-bitcoin-mine-oppose,TX,Milam County,local,grid_energy; noise; water; zoning,Pass resolution opposing Data Factory Austin bitcoin mine,city_council,cancelled,win,,Data Factory Austin,,,15,,,Thorndale residents,"Data Factory Austin proceeded with bitcoin mining near Thorndale despite city opposition. The city passed a resolution voicing concerns about the 15 MW facility, and residents launched a Change.org petition. However, Data Factory leased a 10-acre site 2.5 miles north of Thorndale on FM 486 and began operations. Existing noise complaints from a 10 MW Data Factory mine near Rockdale peaked at 99 decibels. The company plans to expand from 15 MW to 35 MW by 2026 and add GPU-powered data centers. Thorndale lacks jurisdiction over the site outside city limits.",https://theminermag.com/news/2024-10-11/thorndale-bitcoin-mine-oppose; https://www.kxxv.com/news/local-news/in-your-neighborhood/thorndale-residents-voice-concerns-over-proposed-bitcoin-mining-company; https://www.change.org/p/halt-data-factory-austin-s-proposed-bitcoin-factory-in-thorndale; https://www.texasobserver.org/crypto-energy-grid-texas-bitcoin-water/,,,,https://www.change.org/p/halt-data-factory-austin-s-proposed-bitcoin-factory-in-thorndale,1084,,30.6138,-97.2053
City of Peculiar,City of Peculiar,2024-10-01,Diode Ventures,"City of Peculiar, MO",zoning_restriction,1,https://www.kshb.com/news/local-news/peculiar-reverses-zoning-for-data-center-after-cries-from-neighbors,MO,Cass County,local,community_impact; zoning,Restrict Diode Ventures 500-acre data center in City of Peculiar,planning_commission,cancelled,win,,Diode Ventures,Harper Road Technology Park,1500,750,500,,Don't Dump Data in Peculiar,"Peculiar originally added a 'data center' definition to its light industrial zoning, enabling Diode Ventures' proposed $1.5B Harper Road Technology Park — a 500-acre campus with multiple buildings next to homes and businesses. A Facebook group called 'Don't Dump Data in Peculiar' grew to nearly 1,000 members (about 1/6 of the city's population). After hundreds of residents called on local leaders to reverse course, the Planning Commission Board announced on October 3, 2024 an ordinance removing data centers from the zoning code, effectively blocking the project. The mayor claimed aldermen were pressured by a 'boisterous and ill-informed group.' The project involves 750 MW capacity. Hyperscaler not named in sources; Meta/Diode link documented only for nearby Kansas City project.",https://www.kshb.com/news/local-news/peculiar-reverses-zoning-for-data-center-after-cries-from-neighbors; https://www.datacenterdynamics.com/en/news/peculiar-officials-in-missouri-remove-data-centers-from-ordinance-blocking-15bn-diode-project/; https://www.change.org/p/don-t-dump-data-on-peculiar; https://www.datacenterdynamics.com/en/news/peculiar-data-center-faces-opposition-in-missouri/; https://www.diodeventures.com/projects/gptp; https://baxtel.com/data-center/diode-ventures-peculiar-mo,,https://www.facebook.com/groups/793524146302835/,,https://www.change.org/p/don-t-dump-data-on-peculiar,475,,38.7192,-94.4577
Jones County,Jones County,2025-05-13,Unknown,"Jones County, IA",moratorium,1,https://www.jonescountyiowa.gov/files/land_use/jones_county_cryptocurrency_and_data_center_ordinance_78407.pdf,IA,Jones County,local,community_impact; farmland; zoning,Pause data centers and crypto mining in Jones County pending regulations,county_commission,expired,win,,,,,,,,,"Jones County enacted a moratorium on data center development circa October 2024. The moratorium was replaced by a permanent Cryptocurrency and Data Center Ordinance restricting such facilities to agricultural, commercial, and industrial zoning districts via Special Permitted Use application. Key concerns driving this action include community impacts. The community successfully achieved its objective.",https://www.jonescountyiowa.gov/files/land_use/jones_county_cryptocurrency_and_data_center_ordinance_78407.pdf; https://insideclimatenews.org/news/01032026/iowa-county-data-center-ordinance/,,,,,,,42.122,-91.129
