Incident,State,County,Date,qc_mechanism,status_clean,bill_progress,outcome_overstated,Community Outcome,outcome_defensible,finality_evidence,outcome_conflict_reason,suggested_resolution,Source URL
Saline Township,MI,Washtenaw County,2026-01-12,moratorium,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://themanchestermirror.com/2026/01/05/regulators-approve-dte-contracts-for-saline-township-data-center/
Allen Park,MI,Wayne County,2026-02-01,public_pressure,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.change.org/p/allen-park-residents-only-rejection-of-ai-data-centers-in-allen-park-mi
York Township,MI,Washtenaw County,2026-02-12,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wemu.org/wemu-news/2026-02-12/york-township-places-six-month-moratorium-on-data-center-plans
Washtenaw County Circuit Court (Related Digital v. Saline Township),MI,Washtenaw County,2025-09-12,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://thesuntimesnews.com/saline-township-sued-data-center-zoning/
Michigan Public Service Commission (Saline data-center public hearing),MI,,2025-12-03,cost_allocation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://eu.detroitnews.com/story/news/local/michigan/2025/12/03/hundreds-log-in-to-public-hearing-about-saline-township-data-center/87565089007/
Washtenaw County Circuit Court (Haushalter intervention motion),MI,Washtenaw County,2025-12-13,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.clickondetroit.com/news/local/2025/12/14/saline-township-resident-files-lawsuit-to-stop-massive-data-center-project/
Lakeville,MN,Dakota County,2025-08-01,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.mncenter.org/data-centers-lawsuits
Northfield,MN,Rice County,2026-04-08,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://kymnradio.net/2026/04/08/northfield-an-outlier-and-potential-model-in-minnesotas-data-center-debacle/
Pacific,MO,Franklin County,2026-02-25,project_denial,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.change.org/p/demand-transparency-on-data-center-records-in-pacific-mo-under-missouri-sunshine-law
Vicksburg,MS,Warren County,2025-11-20,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://mississippitoday.org/2025/11/20/amazon-data-center-warren-county-mississippi/
Southaven (NAACP federal Clean Air Act lawsuit),MS,DeSoto County,2026-06-15,litigation,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://earthjustice.org/press/2026/xai-sued-for-illegal-power-plant
Mississippi DEQ disclosure / Mississippi Today reporting on xAI's 46 'temporary-mobile' gas turbines without air permits at Southaven,MS,DeSoto,2026-05-11,legislation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://mississippitoday.org/2026/05/11/xai-46-gas-turbines-no-air-permits/
Cumberland County,NC,Cumberland County,2025-11-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.change.org/p/stop-data-centers-in-cumberland-county-protect-fayetteville-s-health-and-water
Fayetteville,NC,Cumberland County,2026-03-05,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://thecitizen.com/2026/03/16/data-center-decision-comes-thursday-for-fayetteville-council/
North Dakota (PSC Republican primary candidate Chris Olson calls for statewide data center moratorium),ND,,2026-05-19,moratorium,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://northdakotamonitor.com/2026/05/19/republican-candidate-for-public-service-commission-calls-for-moratorium-on-data-center-development/
"Andover Township Committee (Sussex County — ban announced after viral tense meeting at former Newton/Jump airport site), NJ",NJ,Sussex,2026-05-10,moratorium,announced,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://newjersey.news12.com/2026/05/10/andover-plans-ban-on-ai-data-centers-after-tense-meeting-and-viral-video/5ouXiKxrUSaKWwCIz4Fflg
New Jersey (60+ groups petition Gov. Sherrill for statewide data center moratorium >=20 MW),NJ,,2026-05-14,moratorium,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.foodandwaterwatch.org/2026/05/14/60-groups-to-gov-sherrill-protect-new-jersey-from-data-centers/
Nassau County,NY,Nassau County,2025-04-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://abc7ny.com/post/nassau-county-officials-do-not-want-lithium-ion-battery-storage-facilities-long-island/16186659/
Seneca County,NY,Seneca County,2026-03-13,litigation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.fltimes.com/news/seneca-county-board-of-supervisors-to-dec-reject-terawulfs-modified-permit-request/article_cce901b6-e44d-41b6-ae0c-e0f9bf79e1d7.html
Barberton,OH,Summit County,2025-11-10,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.akron.com/articles/barberton-approves-open-ended-moratorium-on-data-centers/
Franklin Furnace,OH,Scioto County,2026-05-06,incentive_repeal,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://sciotovalleyguardian.com/2026/05/04/ohio-epa-to-hold-public-meeting-wednesday-on-wetland-permit-for-googles-1-billion-franklin-furnace-data-center/
Pittsburg County,OK,Pittsburg County,2026-05-14,legislation,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://nondoc.com/2026/05/14/pittsburg-county-committee-endorses-deal-tied-to-2000-acre-50-billion-data-center-site/
Middlesex Township,PA,Cumberland County,2026-03-01,public_pressure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://cumberlink.com/news/local/government-politics/article_c4d8622b-0190-426c-aa95-6ee480ae7f86.html
Dorrance Township,PA,Luzerne County,2025-08-11,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.alleghenyfront.org/pennsylvania-luzerne-dorrance-data-center-zoning/
Nesquehoning Borough,PA,Carbon County,2026-01-01,litigation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wnep.com/article/news/local/carbon-county/nesquehoning-residents-voice-concerns-over-proposed-data-center-carbon-county-bitfarms-ltd-bitcoin/523-571bdbff-9045-4abc-9eef-5299cbdfcfc4
Watts Township,PA,Perry County,2026-04-01,public_pressure,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.witf.org/2026/04/02/perry-co-residents-get-delay-in-watts-township-data-center-ordinance/
"City of Allentown (Bill 20 data center zoning tabled after marathon hearing), PA",PA,Lehigh County,2026-06-03,conditional_zoning,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wfmz.com/news/area/lehighvalley/lehigh-county/allentown-area/allentown-city-council-tables-proposed-bill-to-regulate-data-centers/article_79b84a9b-4add-4f41-aa05-2de69e86952d.html
"Colleton County Council (first-reading 6-month moratorium on 850-acre Eagle Rock proposal in ACE Basin), SC",SC,Colleton,2026-05-04,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.aol.com/articles/south-carolina-county-passes-first-090447896.html
"Colleton County Council (moratorium finalized, related SELC lawsuit paused)",SC,Colleton County,2026-07-07,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.live5news.com/2026/07/08/6-month-pause-data-center-developments-colleton-county-lawsuit-paused/
Sullivan County,TN,Sullivan County,2025-11-20,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://heraldcourier.com/news/article_9b6dc9dc-7dee-4370-a502-5ac8fb794474.html
Shelby County Health Department (xAI enforcement letter),TN,Shelby County,2024-08-26,legislation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://interactive.localmemphis.com/pdfs/2024-08-26-Letter-to-SCHD-re-xAI-operating-without-permits.pdf
Shelby County Health Department (xAI 15-turbine air permit application),TN,Shelby County,2025-01-15,legislation,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://prismreports.org/2025/06/18/xai-memphis-data-center-pollution/
Shelby County Health Department (SELC second xAI letter),TN,Shelby County,2025-04-09,legislation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://interactive.localmemphis.com/pdfs/2025-04-09_Letter_from_SELC_et_al._to_SCHD_re_xAI's_New_Turbines.pdf
Memphis (SCHD public hearing — Fairley High School),TN,Shelby County,2025-04-25,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://wreg.com/news/xai-hearing-draws-hundreds-becomes-heated-debate/
Memphis & Shelby County Air Pollution Control Board (xAI appeal filing),TN,Shelby County,2025-07-15,legislation,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://cdn.arstechnica.net/wp-content/uploads/2025/07/NAACP-and-YGGs-xAI-Air-Permit-Appeal-7-15-2025.pdf
